1637269279.976,1637269279.976,create#Process::hello.sh#Artifact::file::/home/admin/ttt.txt,6546604,1693356,1700523
1637269279.976,1637269279.976,update#Artifact::file::/home/admin/ttt.txt#Artifact::file::/home/admin/ttt.txt,6204163,1700523,1700524
1637269297.137,1637269297.137,fork#Process::hello.sh#Process::hello.sh,7112806,1693356,1712490
1637269297.141,1637269297.141,fork#Process::hello.sh#Process::hello.sh,7112865,1712490,1712492
1637269297.141,1637269297.141,execve#Process::hello.sh#Process::sshpass,7109083,1712492,1712495
1637269337.765,1637269341.652,read#Artifact::unnamed pipe::#Process::hello.sh,5196484,1759973,1693356
1637269337.769,1637269341.652,read#Artifact::unnamed pipe::#Process::awk,5196483,1759972,1759420
1637269337.789,1637269337.789,connect#Process::ssh#Artifact::network socket::192.168.99.4:22,6549533,1759495,1759652
1637269337.793,1637269337.828,write#Process::ssh#Artifact::network socket::192.168.99.4:22,5630794,1759495,1759652
1637269337.793,1637269341.652,read#Artifact::network socket::192.168.99.4:22#Process::ssh,5196481,1759652,1759495
1637269341.652,1637269341.652,write#Process::awk#Artifact::unnamed pipe::,5630793,1759420,1759973
1637269341.652,1637269341.652,write#Process::ssh#Artifact::unnamed pipe::,5630795,1759495,1759972
